ClubID,ClubName,Address,City,PostalCode,State,Country,Latitude,Longitude,Website,Email,Telephone,Continent
111,Albertslund Golfklub,Snubbekorsvej 52-54,Albertslund,2620,,Danmark,55.6811596,12.3282487,https://albertslundgolfklub.dk/,post@albertslundgolfklub.dk,43642577,Europe
125,Arrild Golf Klub,Skikkildbjergvej 4,Arrild,6520,,Danmark,55.1637635,8.9533421,https://arrildgolfklub.dk/,kontakt@arrildgolfklub.dk,20166620,Europe
9,Asserbo Golf Club,Bødkergårdsvej 9,Frederiksværk,3300,,Danmark,55.994873,12.0167,https://www.agc.dk/,agc@agc.dk,47721490,Europe
167,Barløseborg Golfklub,Skovvangsvej 47,Barløse,5610,,Danmark,55.338474,9.965871,http://bbgolf.dk/,post@bbgolf.dk,64791224,Europe
128,Benniksgaard Golf Klub,Sejrsvej 109,Gråsten,6300,,Danmark,54.890636,9.548425,https://www.benniksgaardgolf.dk/,info@benniksgaard.dk,74652268,Europe
142,Birkemose Golf Club,Nr Stenderupvej 12,Kolding,6000,,Danmark,55.537506,9.541804,https://birkemosegolf.dk/,post@birkemosegolf.dk,75565060,Europe
105,Blokhus Golf Klub,Hunetorpvej 115,Pandrup,9490,,Danmark,57.232712,9.614794,https://blokhusgolfklub.dk/,reception@blokhusgolfcenter.dk,98209500,Europe
196,Blommenslyst Golfklub,Vejruplundvej 20,Blommenslyst,5491,,Danmark,55.388854,10.280985,https://www.blommenslyst-golf.dk/,info@blommenslyst-golf.dk,65967120,Europe
96,Blåvandshuk Golfklub,Søndertoften 29,Blåvand,6857,,Danmark,55.541857,8.237421,https://www.blaagolf.dk/,info@blaagolf.dk,75275555,Europe
162,Bogense Golfklub,Kristianslundsvej 15,Bogense,5400,,Danmark,55.558603,10.107336,https://www.bogensegolfklub.dk/,info@bogensegolfklub.dk,22402845,Europe
34,Bornholms Golf Klub,Plantagevej 3B,Rønne,3700,,Danmark,55.087787,14.756034,https://bornholmsgolfklub.dk/,bgk@bornholmsgolfklub.dk,30806833,Europe
122,Brande Golfklub,Nordlundvej 87,Brande,7330,,Danmark,55.950864,9.077163,http://www.brandegolfklub.dk/,brandegolfklub@brandegolfklub.dk,97182179,Europe
78,Breinholtgård Golf Klub,Kokspangvej 17-19,Esbjerg,6710,,Danmark,55.545893,8.3891351,https://www.bggc.dk/,info@bggc.dk,75115700,Europe
198,Brændeskovgård Golf,Højbjergvej 16,Svendborg,5700,,Danmark,55.128702,10.60393,https://www.bgolf.dk/,ta@bgolf.dk,22997566,Europe
130,Brøndby Golfklub,Nybovej 46,Brøndby,2605,,Danmark,55.632034,12.39843,https://www.brondbygolf.dk/,sekretariat@brondbygolf.dk,43531900,Europe
32,Brønderslev Golfklub,Golfvejen 83,Brønderslev,9700,,Danmark,57.288023,9.922564,https://broenderslevgolfklub.dk/,info@broenderslevgolfklub.dk,98823281,Europe
145,CGC – Copenhagen Golf Center,Golfsvinget 16-20,Vallensbæk,2625,,Danmark,55.6323399,12.3792937,https://cgc.dk/,info@cgc.dk,43649293,Europe
901,City Golf Copenhagen,Center Blvd. 4,København,2300,,Danmark,55.6398516,12.5750216,https://citygolf.dk/,reception@citygolf.dk,72406090,Europe
19,Dejbjerg Golf Klub,Letagervej 1,Skjern,6900,,Danmark,55.998007,8.470571,https://www.dejbjerggk.dk/,kontor@dejbjerggk.dk,97350009,Europe
144,DGC Dragsholm Golf Club,Golfsvinget 1,Fårevejle,4540,,Denmark,55.799018,11.424043,https://www.dragsholmgolfclub.dk/,info@dragsholmgolfclub.dk,61662359,Europe
174,Djurs Golfklub,Kolstrupvej 6C,Nimtofte,8581,,Denmark,56.428742,10.568631,https://www.djursgolfklub.dk/,info@djursgolf.dk,86396141,Europe
72,Dragør Golfklub,Kalvebodvej 100,Dragør,2791,,Denmark,55.571387,12.592952,https://www.xn--dragrgolf-o8a.dk/,kontor@dragor-golf.dk,32538975,Europe
197,Dronninglund Golfklub,Kirkevej 12,Dronninglund,9330,,Denmark,57.167203,10.267319,https://dronninglund-golfklub.dk/,info@dronninglund-golfklub.dk,33151020,Europe
18,Ebeltoft Golf Club,Galgebakken 14,Ebeltoft,8400,,Denmark,56.204639,10.686383,https://www.ebeltoft-golfclub.dk/,post@ebeltoft-golfclub.dk,88913344,Europe
3,Esbjerg Golfklub,Sønderhedevej 11,Esbjerg,6710,,Denmark,55.571548,8.339049,https://www.esbjerggolfklub.dk/da/,kontor@egk.dk,75269219,Europe
106,Falster Golfklub,Virketvej 44,Eskilstrup,4863,,Denmark,54.838293,11.964092,https://www.falster-golfklub.dk/,info@falster-golfklub.dk,30898143,Europe
10,Fanø Vesterhavsbads Golfklub,Golfvejen 5,Fanø,6720,,Denmark,55.435173,8.366195,http://www.fanoe-golfklub.dk/,fvg@fanonet.dk,21294249,Europe
68,Fredensborg Golf Club,Skovsvinget 25,Fredensborg,3480,,Denmark,55.972583,12.382981,https://fgc.dk/,kontoret@fgc.dk,48475659,Europe
91,Fredericia Golf Club,Stenhøjvej 57,Fredericia,7000,,Denmark,55.578352,9.717494,https://www.fredericiagolfclub.dk/,ml@fredericiagolfclub.dk,75923033,Europe
116,Frederikshavn Golf Klub,Golfvej,Frederikshavn,9900,,Denmark,57.4620068,10.5013227,https://frederikshavngolfklub.dk/,kontakt@fhgk.dk,98435588,Europe
46,Frederikssund Golfklub,Skovnæsvej 9,Jægerspris,3630,,Denmark,55.832932,12.02687,http://www.frederikssundgolfklub.dk/,fgk@fgkgolf.dk,47310877,Europe
44,Furesø Golfklub,Hestkøb Vænge 4,Birkerød,3460,,Denmark,55.8319501,12.4115738,https://www.fggolf.dk/,kontor@fggolf.dk,45817444,Europe
62,Faaborg Golfklub,Dalkildegårdsallé 1,Faaborg,5600,,Denmark,55.137186,10.250247,https://www.faaborggolfklub.dk/,info@faaborggolfklub​.dk,62617743,Europe
25,Gilleleje Golfklub,Sophienlund Alle 13,Gilleleje,3250,,Denmark,56.081833,12.366132,https://www.ggk.dk/,info@ggk.dk,49718056,Europe
86,Give Golfklub,Bregnhovedvej 3,Give,7323,,Denmark,55.833202,9.206114,http://www.givegolfklub.dk/,info@givegolfklub.dk,75739401,Europe
133,Golf Club Harekær,Harekærvej 6 B,Køge,4600,,Denmark,55.489678,12.103939,https://www.harekaer.dk/,info@harekaer-golf.dk,56820034,Europe
